scenario,strategy,strategy_name,feasible,breaches_cleared,breaches_cleared_higher_deprivation,equity_share,breaches_per_million,delivery_risk_exposure,total_cost,pct_of_baseline_cleared,lever_diversification,spend_share_x1,spend_share_x2,spend_share_x3
A1B1,S0,Hold position,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1B1,S1,Unconstrained optimisation,True,42454.0,42454.0,1.0,5660.5,1.0,7500000.0,0.14328911105099715,3.194336520406793e-06,1.5971708110896875e-06,0.0,0.9999984028291888
A1B1,S2,NHS delivery only,True,42454.0,42454.0,1.0,5660.5,1.0,7499999.999999999,0.14328911105099715,3.1943365195186146e-06,1.5971708107571286e-06,0.0,0.9999984028291893
A1B1,S3,No in-house expansion,True,42454.0,42454.0,1.0,5660.5,1.0,7499992.499999998,0.14328911105099715,0.0,0.0,0.0,1.0
A1B1,S4,Diagnostic-led recovery,True,42454.0,42454.0,1.0,5660.5,1.0,7499999.999999998,0.14328911105099715,3.194336519962704e-06,1.5971708109338584e-06,0.0,0.9999984028291891
A1B1,S5,Equity-first,True,42454.0,42454.0,1.0,5660.5,1.0,7500000.0,0.14328911105099715,3.194336520406793e-06,1.5971708110896875e-06,0.0,0.9999984028291888
A1B1,S7,Treatment capacity only,True,15873.0,15873.0,1.0,2116.4,0.0,7500000.0,0.05357483346218137,0.0,1.0,0.0,0.0
A1B1,S6,Diversified hedge,True,29164.0,29164.0,1.0,3888.5,0.7279,7499999.999999999,0.09843194546917253,0.5000010971684034,0.49999999999999994,1.0971708108950547e-06,0.49999890282918913
A1B2,S0,Hold position,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1B2,S1,Unconstrained optimisation,True,15873.0,15873.0,1.0,2116.4,0.0,7499992.499999998,0.053574779887347906,0.0,1.0,0.0,0.0
A1B2,S2,NHS delivery only,True,15873.0,15873.0,1.0,2116.4,0.0,7499992.499999999,0.053574779887347906,0.0,1.0,0.0,0.0
A1B2,S3,No in-house expansion,True,15873.0,15873.0,1.0,2116.4,1.0,7499999.999999999,0.053574779887347906,4.4642842152775586e-05,0.0,0.9999776780806555,2.232191934445801e-05
A1B2,S4,Diagnostic-led recovery,True,15518.0,15518.0,1.0,2069.1,0.4885,7499992.5,0.052374731202780585,0.5,0.49999999999999994,0.0,0.5
A1B2,S5,Equity-first,True,15873.0,15873.0,1.0,2116.4,0.0,7499992.499999998,0.053574779887347906,0.0,1.0,0.0,0.0
A1B2,S7,Treatment capacity only,True,15873.0,15873.0,1.0,2116.4,0.0,7500000.0,0.05357483346218137,0.0,1.0,0.0,0.0
A1B2,S6,Diversified hedge,True,15873.0,15873.0,1.0,2116.4,0.5,7500000.000000001,0.05357477988734791,0.5000223209228076,0.5,0.4999776780806562,2.2321919343743286e-05
A2B1,S0,Hold position,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2B1,S1,Unconstrained optimisation,True,169817.0,128794.0,0.7584281903460784,5660.6,1.0,30000000.000000004,0.5731564442039886,3.194336519962704e-06,1.5971708109243579e-06,0.0,0.9999984028291891
A2B1,S2,NHS delivery only,True,169817.0,128794.0,0.7584281903460784,5660.6,1.0,30000000.000000004,0.5731564442039886,3.1943365206288377e-06,1.5971708112088133e-06,0.0,0.9999984028291887
A2B1,S3,No in-house expansion,True,169817.0,128794.0,0.7584281903460784,5660.6,1.0,29999969.999999996,0.5731564442039886,0.0,0.0,0.0,1.0
A2B1,S4,Diagnostic-led recovery,True,169817.0,128794.0,0.7584281903460784,5660.6,1.0,30000000.0,0.5731564442039885,3.1943365201847485e-06,1.597170810986242e-06,0.0,0.999998402829189
