scenario,strategy,strategy_name,feasible,breaches_cleared,breaches_cleared_higher_deprivation,total_cost,breaches_per_million,delivery_risk_exposure,pct_of_baseline_cleared,spend_share_x1,spend_share_x2,spend_share_x3,equity_share,rank_breaches_cleared,rank_breaches_cleared_higher_deprivation,rank_breaches_per_million,rank_delivery_risk_exposure,sum_of_ranks
A1B1,S0,Hold position,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,36.0,1.0,109.0
A1B1,S1,Unconstrained optimisation,True,25317.0,25317.0,4500000.0,5626.0,1.0,0.0961549420072441,1.5901668446015906e-06,0.0,0.9999984098331554,1.0,21.0,21.0,6.0,24.0,72.0
A1B1,S2,NHS delivery only,True,25317.0,25317.0,4500000.0,5626.0,1.0,0.0961549420072441,1.590166844763991e-06,0.0,0.9999984098331551,1.0,21.0,21.0,6.0,24.0,72.0
A1B1,S3,No in-house expansion,True,25317.0,25317.0,4499995.5,5626.0,1.0,0.0961549420072441,0.0,0.0,1.0,1.0,21.0,21.0,6.0,24.0,72.0
A1B1,S4,Diagnostic-led recovery,True,25317.0,25317.0,4500000.0,5626.0,1.0,0.0961549420072441,1.590166844763991e-06,0.0,0.9999984098331551,1.0,21.0,21.0,6.0,24.0,72.0
A1B1,S5,Equity-first,True,25317.0,25317.0,4500000.0,5626.0,1.0,0.0961549420072441,1.5901668446015906e-06,0.0,0.9999984098331554,1.0,21.0,21.0,6.0,24.0,72.0
A1B1,S6,Diversified hedge,True,17357.0,17357.0,4500000.0,3857.1,0.7293,0.0659207114535567,0.5,1.0901668446865077e-06,0.49999890983315537,1.0,27.0,27.0,16.0,22.0,92.0
A1B1,S7,Treatment capacity only,True,9396.0,9396.0,4500000.0,2088.0,0.0,0.03568648089986929,1.0,0.0,0.0,1.0,28.0,28.0,19.0,1.0,76.0
A1B2,S0,Hold position,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,36.0,1.0,109.0
A1B2,S1,Unconstrained optimisation,True,9396.0,9396.0,4499995.5,2088.0,0.0,0.03568648089986929,1.0,0.0,0.0,1.0,28.0,28.0,19.0,1.0,76.0
A1B2,S2,NHS delivery only,True,9396.0,9396.0,4499995.5,2088.0,0.0,0.03568648089986929,1.0,0.0,0.0,1.0,28.0,28.0,19.0,1.0,76.0
A1B2,S3,No in-house expansion,True,9396.0,9396.0,4499995.5,2088.0,1.0,0.03568648089986929,0.0,1.0,0.0,1.0,28.0,28.0,19.0,24.0,99.0
A1B2,S4,Diagnostic-led recovery,True,9219.0,9219.0,4499995.5,2048.7,0.4904,0.035013765808371095,0.5,0.0,0.5,1.0,35.0,35.0,34.0,17.0,121.0
A1B2,S5,Equity-first,True,9396.0,9396.0,4499995.499999999,2088.0,0.0,0.03568648089986928,1.0,0.0,0.0,1.0,28.0,28.0,19.0,1.0,76.0
A1B2,S6,Diversified hedge,True,9396.0,9396.0,4500000.000000001,2088.0,0.5,0.0356864808998693,0.5,0.4999734757839226,2.6524216077386864e-05,1.0,28.0,28.0,19.0,19.0,94.0
A1B2,S7,Treatment capacity only,True,9396.0,9396.0,4500000.0,2088.0,0.0,0.03568648089986929,1.0,0.0,0.0,1.0,28.0,28.0,19.0,1.0,76.0
A2B1,S0,Hold position,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,36.0,1.0,109.0
A2B1,S1,Unconstrained optimisation,True,101269.0,101269.0,18000000.0,5626.1,1.0,0.38461976802897635,1.5901668450961486e-06,0.0,0.9999984098331549,1.0,1.0,1.0,1.0,24.0,27.0
A2B1,S2,NHS delivery only,True,101269.0,101269.0,18000000.000000004,5626.1,1.0,0.38461976802897635,1.5901668450957712e-06,0.0,0.9999984098331549,1.0,1.0,1.0,1.0,24.0,27.0
A2B1,S3,No in-house expansion,True,101269.0,101269.0,17999982.0,5626.1,1.0,0.38461976802897635,0.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,27.0
A2B1,S4,Diagnostic-led recovery,True,101269.0,101269.0,18000000.0,5626.1,1.0,0.38461976802897635,1.5901668447089698e-06,0.0,0.9999984098331554,1.0,1.0,1.0,1.0,24.0,27.0
A2B1,S5,Equity-first,True,101269.0,101269.0,18000000.0,5626.1,1.0,0.38461976802897635,1.5901668450961486e-06,0.0,0.9999984098331549,1.0,1.0,1.0,1.0,24.0,27.0
A2B1,S6,Diversified hedge,True,69427.0,69427.0,18000000.0,3857.1,0.7293,0.2636828458142268,0.4999999999999998,1.09016684480948e-06,0.49999890983315537,1.0,6.0,6.0,16.0,22.0,50.0
