scenario,strategy,strategy_name,feasible,breaches_cleared,breaches_cleared_higher_deprivation,total_cost,breaches_per_million,delivery_risk_exposure,pct_of_baseline_cleared,spend_share_x1,spend_share_x2,spend_share_x3,equity_share,rank_breaches_cleared,rank_breaches_cleared_higher_deprivation,rank_breaches_per_million,rank_delivery_risk_exposure,sum_of_ranks
A1B1,S0,Hold position,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,36.0,1.0,109.0
A1B1,S1,Unconstrained optimisation,True,42454.0,42454.0,7500000.0,5660.5,1.0,0.1432891110509972,1.597170810843362e-06,0.0,0.9999984028291891,1.0,21.0,20.0,6.0,24.0,71.0
A1B1,S2,NHS delivery only,True,42454.0,42454.0,7500000.000000001,5660.5,1.0,0.14328911105099726,1.5971708108789923e-06,0.0,0.9999984028291891,1.0,21.0,20.0,6.0,24.0,71.0
A1B1,S3,No in-house expansion,True,42454.0,42454.0,7499992.5,5660.5,1.0,0.14328911105099723,0.0,0.0,1.0,1.0,21.0,20.0,6.0,24.0,71.0
A1B1,S4,Diagnostic-led recovery,True,42454.0,42454.0,7499999.999999999,5660.5,1.0,0.14328911105099726,1.5971708109170874e-06,0.0,0.9999984028291891,1.0,21.0,20.0,6.0,24.0,71.0
A1B1,S5,Equity-first,True,42454.0,42454.0,7500000.0,5660.5,1.0,0.1432891110509972,1.597170810843362e-06,0.0,0.9999984028291891,1.0,21.0,20.0,6.0,24.0,71.0
A1B1,S6,Diversified hedge,True,29164.0,29164.0,7500000.0,3888.5,0.7279,0.09843194546917258,0.5000000000000001,1.0971708109308653e-06,0.499998902829189,1.0,27.0,27.0,16.0,22.0,92.0
A1B1,S7,Treatment capacity only,True,15873.0,15873.0,7500000.0,2116.4,0.0,0.05357483346218139,1.0,0.0,0.0,1.0,28.0,28.0,20.0,1.0,77.0
A1B2,S0,Hold position,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,36.0,1.0,109.0
A1B2,S1,Unconstrained optimisation,True,15873.0,15873.0,7499992.5,2116.4,0.0,0.053574779887347934,1.0,0.0,0.0,1.0,28.0,28.0,20.0,1.0,77.0
A1B2,S2,NHS delivery only,True,15873.0,15873.0,7499992.499999999,2116.4,0.0,0.05357477988734793,1.0,0.0,0.0,1.0,28.0,28.0,20.0,1.0,77.0
A1B2,S3,No in-house expansion,True,15873.0,15873.0,7500000.0,2116.4,1.0,0.053574779887347934,0.0,0.9999776780806581,2.232191934194411e-05,1.0,28.0,28.0,20.0,24.0,100.0
A1B2,S4,Diagnostic-led recovery,True,15518.0,15518.0,7499992.500000001,2069.1,0.4885,0.05237473120278061,0.5000000000000001,0.0,0.5,1.0,35.0,35.0,34.0,17.0,121.0
A1B2,S5,Equity-first,True,15873.0,15873.0,7499992.5,2116.4,0.0,0.05357477988734794,1.0,0.0,0.0,1.0,28.0,28.0,20.0,1.0,77.0
A1B2,S6,Diversified hedge,True,15873.0,15873.0,7500000.0,2116.4,0.5,0.053574779887347934,0.5000000000000001,0.4999776780806577,2.2321919342273677e-05,1.0,28.0,28.0,20.0,19.0,95.0
A1B2,S7,Treatment capacity only,True,15873.0,15873.0,7500000.0,2116.4,0.0,0.05357483346218139,1.0,0.0,0.0,1.0,28.0,28.0,20.0,1.0,77.0
A2B1,S0,Hold position,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,36.0,1.0,109.0
A2B1,S1,Unconstrained optimisation,True,169817.0,128794.0,30000000.0,5660.6,1.0,0.573156444203989,1.5971708106092248e-06,0.0,0.9999984028291894,0.7584281903460784,1.0,1.0,1.0,24.0,27.0
A2B1,S2,NHS delivery only,True,169817.0,128794.0,30000000.000000004,5660.6,1.0,0.5731564442039889,1.5971708109746632e-06,0.0,0.999998402829189,0.7584281903460784,1.0,1.0,1.0,24.0,27.0
A2B1,S3,No in-house expansion,True,169817.0,128794.0,29999970.000000007,5660.6,1.0,0.573156444203989,0.0,0.0,1.0,0.7584281903460784,1.0,1.0,1.0,24.0,27.0
A2B1,S4,Diagnostic-led recovery,True,169817.0,128794.0,30000000.000000004,5660.6,1.0,0.5731564442039889,1.597170810974191e-06,0.0,0.999998402829189,0.7584281903460784,1.0,1.0,1.0,24.0,27.0
A2B1,S5,Equity-first,True,169817.0,128794.0,30000000.000000004,5660.6,1.0,0.5731564442039891,1.5971708106766954e-06,0.0,0.9999984028291894,0.7584281903460784,1.0,1.0,1.0,24.0,27.0
A2B1,S6,Diversified hedge,True,116655.0,116655.0,30000000.000000004,3888.5,0.7279,0.39372778187669033,0.5,1.0971708109845575e-06,0.499998902829189,1.0,6.0,6.0,16.0,22.0,50.0
A2B1,S7,Treatment capacity only,True,63493.0,63493.0,29999970.0,2116.4,0.0,0.21429911954939174,1.0,0.0,0.0,1.0,7.0,7.0,20.0,1.0,35.0
