provider_org_code,provider_org_name,provider_type,include_in_core_analysis
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,acute,1
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,acute,1
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,specialist,1
RBS,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,specialist,1
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,acute,1
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,acute,1
REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,specialist,1
REP,LIVERPOOL WOMENS NHS FOUNDATION TRUST,specialist,1
RET,THE WALTON CENTRE NHS FOUNDATION TRUST,specialist,1
RJN,EAST CHESHIRE NHS TRUST,acute,1
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,acute,1
RW4,MERSEY CARE NHS FOUNDATION TRUST,mental_health,0
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,acute,1
NT324,SPIRE CHESHIRE HOSPITAL,independent_sector,0
NT337,SPIRE LIVERPOOL HOSPITAL,independent_sector,0
NT339,SPIRE REGENCY HOSPITAL,independent_sector,0
NT325,SPIRE MURRAYFIELD HOSPITAL,independent_sector,0
NPG02,SPAMEDICA WIRRAL,independent_sector,0
NPG06,SPAMEDICA LIVERPOOL,independent_sector,0
NPG14,SPAMEDICA WIDNES,independent_sector,0
R6X7C,SPAMEDICA MACCLESFIELD COMMUNITY DIAGNOSTIC AND TREATMENT CENTRE,independent_sector,0
V4U1Y,SPAMEDICA CHESTER,independent_sector,0
Z5J5V,SPAMEDICA HAYDOCK,independent_sector,0
F1Y1H,NEWMEDICA CHESHIRE OAKS,independent_sector,0
Y9S1N,FAIRFIELD INDEPENDENT HOSPITAL,independent_sector,0
