provider_org_code,period_month,waiting_list_size,is_forecast,method,mc_p5,mc_p50,mc_p95
RBL,2019-04-01,52578.0,False,,,,
RBL,2019-05-01,54780.0,False,,,,
RBL,2019-06-01,51636.0,False,,,,
RBL,2019-07-01,49664.0,False,,,,
RBL,2019-08-01,49920.0,False,,,,
RBL,2019-09-01,49660.0,False,,,,
RBL,2019-10-01,48920.0,False,,,,
RBL,2019-11-01,47334.0,False,,,,
RBL,2019-12-01,46744.0,False,,,,
RBL,2020-01-01,46310.0,False,,,,
RBL,2020-02-01,46582.0,False,,,,
RBL,2020-03-01,44840.0,False,,,,
RBL,2020-04-01,42688.0,False,,,,
RBL,2020-05-01,42790.0,False,,,,
RBL,2020-06-01,42988.0,False,,,,
RBL,2020-07-01,46264.0,False,,,,
RBL,2020-08-01,49154.0,False,,,,
RBL,2020-09-01,48590.0,False,,,,
RBL,2020-10-01,46052.0,False,,,,
RBL,2020-11-01,43446.0,False,,,,
RBL,2020-12-01,43774.0,False,,,,
RBL,2021-01-01,43934.0,False,,,,
RBL,2021-02-01,44082.0,False,,,,
RBL,2021-03-01,47048.0,False,,,,
RBL,2021-04-01,49684.0,False,,,,
RBL,2021-05-01,51908.0,False,,,,
RBL,2021-06-01,53522.0,False,,,,
RBL,2021-07-01,54146.0,False,,,,
RBL,2021-08-01,54814.0,False,,,,
RBL,2021-09-01,55038.0,False,,,,
RBL,2021-10-01,54086.0,False,,,,
RBL,2021-11-01,54274.0,False,,,,
RBL,2021-12-01,54986.0,False,,,,
RBL,2022-01-01,57510.0,False,,,,
RBL,2022-02-01,59072.0,False,,,,
RBL,2022-03-01,61056.0,False,,,,
RBL,2022-04-01,63194.0,False,,,,
RBL,2022-05-01,64904.0,False,,,,
RBL,2022-06-01,66776.0,False,,,,
RBL,2022-07-01,70038.0,False,,,,
RBL,2022-08-01,71644.0,False,,,,
RBL,2022-09-01,74240.0,False,,,,
RBL,2022-10-01,74488.0,False,,,,
RBL,2022-11-01,74556.0,False,,,,
RBL,2022-12-01,75126.0,False,,,,
RBL,2023-01-01,78054.0,False,,,,
RBL,2023-02-01,80324.0,False,,,,
RBL,2023-03-01,82320.0,False,,,,
RBL,2023-04-01,83674.0,False,,,,
RBL,2023-05-01,83136.0,False,,,,
RBL,2023-06-01,81196.0,False,,,,
RBL,2023-07-01,85494.0,False,,,,
RBL,2023-08-01,87370.0,False,,,,
RBL,2023-09-01,88562.0,False,,,,
RBL,2023-10-01,86558.0,False,,,,
RBL,2023-11-01,85408.0,False,,,,
RBL,2023-12-01,83648.0,False,,,,
RBL,2024-01-01,82164.0,False,,,,
RBL,2024-02-01,83170.0,False,,,,
RBL,2024-03-01,88058.0,False,,,,
RBL,2024-04-01,89056.0,False,,,,
RBL,2024-05-01,89028.0,False,,,,
RBL,2024-06-01,88694.0,False,,,,
RBL,2024-07-01,92064.0,False,,,,
RBL,2024-08-01,93540.0,False,,,,
RBL,2024-09-01,95158.0,False,,,,
RBL,2024-10-01,94744.0,False,,,,
RBL,2024-11-01,96242.0,False,,,,
RBL,2024-12-01,94986.0,False,,,,
RBL,2025-01-01,94932.0,False,,,,
RBL,2025-02-01,95130.0,False,,,,
RBL,2025-03-01,98482.0,False,,,,
RBL,2025-04-01,93092.0,False,,,,
RBL,2025-05-01,91690.0,False,,,,
RBL,2025-06-01,94196.0,False,,,,
RBL,2025-07-01,94956.0,False,,,,
RBL,2025-08-01,94926.0,False,,,,
RBL,2025-09-01,96808.0,False,,,,
RBL,2025-10-01,99358.0,False,,,,
RBL,2025-11-01,96540.0,False,,,,
RBL,2025-12-01,94640.0,False,,,,
RBL,2026-01-01,93312.0,False,,,,
RBL,2026-02-01,92714.0,False,,,,
RBL,2026-03-01,87332.0,False,,,,
RBL,2026-04-01,93092.0,True,seasonal_naive,84444.0,100974.0,113572.0
RBL,2026-05-01,91690.0,True,seasonal_naive,83042.0,99188.0,112170.0
RBL,2026-06-01,94196.0,True,seasonal_naive,90308.0,102078.0,114676.0
RBL,2026-07-01,94956.0,True,seasonal_naive,86308.0,102990.0,115436.0
RBL,2026-08-01,94926.0,True,seasonal_naive,86278.0,102424.0,115406.0
RBL,2026-09-01,96808.0,True,seasonal_naive,92920.0,103804.0,117213.9
RBL,2026-10-01,99358.0,True,seasonal_naive,90710.0,107240.0,119838.0
RBL,2026-11-01,96540.0,True,seasonal_naive,87892.0,104038.0,117020.0
RBL,2026-12-01,94640.0,True,seasonal_naive,84750.0,102138.0,115120.0
RBL,2027-01-01,93312.0,True,seasonal_naive,84664.0,100308.0,113792.0
RBL,2027-02-01,92714.0,True,seasonal_naive,84066.0,100748.0,113116.0
RBL,2027-03-01,87332.0,True,seasonal_naive,78684.0,95214.0,107812.0
RBL,2027-04-01,93092.0,True,seasonal_naive,83202.0,100590.0,113572.0
RBL,2027-05-01,91690.0,True,seasonal_naive,83042.0,99188.0,112170.0
RBL,2027-06-01,94196.0,True,seasonal_naive,85548.0,101694.0,114598.0
RBL,2027-07-01,94956.0,True,seasonal_naive,86308.0,102454.0,115436.0
RBL,2027-08-01,94926.0,True,seasonal_naive,86278.0,102424.0,115406.0
RBL,2027-09-01,96808.0,True,seasonal_naive,88160.0,104690.0,117288.0
RBN,2019-04-01,43348.0,False,,,,
RBN,2019-05-01,42992.0,False,,,,
RBN,2019-06-01,42792.0,False,,,,
RBN,2019-07-01,42786.0,False,,,,
RBN,2019-08-01,42504.0,False,,,,
RBN,2019-09-01,42362.0,False,,,,
RBN,2019-10-01,42176.0,False,,,,
