provider_org_code,treatment_function_code,period,period_month,waiting_list_size,baseline_wl,rtt_growth,rtt_over18_share,rtt_over52_share,dm01_breach,ae_pressure,ae_pressure_imputed,kh03_occupancy,pressure_index_raw,pressure_index_0_100
RBN,X05,RTT-August-2025,2025-08-01,2673.0,790.0,2.383544303797468,0.3752,0.07033295922184811,0.1488,0.2711,False,0.9797,0.8706073194059818,74.27811898432488
RBN,C_160,RTT-August-2025,2025-08-01,6514.0,2049.0,2.1791117618350415,0.484,0.05280933374270801,0.1488,0.2711,False,0.9797,0.9633438667495051,76.8173068108901
RBN,C_301,RTT-August-2025,2025-08-01,6202.0,1773.3333333333333,2.4973684210526317,0.2019,0.00016123831022250886,0.1488,0.2711,False,0.9797,-0.18586746546064142,43.28536071133926
RBN,C_140,RTT-August-2025,2025-08-01,1773.0,364.3333333333333,3.866422689844465,0.3926,0.009024252679075015,0.1488,0.2711,False,0.9797,0.4888030844316218,62.98469153909616
RBT,C_130,RTT-August-2025,2025-08-01,4873.0,1747.0,1.7893531768746422,0.2553,0.008003283398317258,0.204,0.4404,False,0.9392,0.5186516514242727,63.92886607388395
RBT,C_502,RTT-August-2025,2025-08-01,3049.0,1098.3333333333333,1.776024279210926,0.4293,0.027222040013119054,0.204,0.4404,False,0.9392,1.1234233736637291,80.8873407278394
RBT,C_120,RTT-August-2025,2025-08-01,6109.0,1515.0,3.0323432343234327,0.5498,0.06351284989359961,0.204,0.4404,False,0.9392,1.8628709556353567,93.43661197176644
RBT,X05,RTT-August-2025,2025-08-01,4755.0,205.0,22.195121951219512,0.404,0.06708727655099894,0.204,0.4404,False,0.9392,3.231037096584168,99.01915849298744
RBT,C_301,RTT-August-2025,2025-08-01,1919.0,696.0,1.757183908045977,0.4388,0.0005211047420531526,0.204,0.4404,False,0.9392,0.9030361122248699,75.32312769273078
RBL,C_101,RTT-DECEMBER-2019,2019-12-01,1578.0,1953.3333333333333,-0.19215017064846418,0.2167,0.0,0.0093,0.27869999999999995,False,0.9285,-0.47873484621064666,34.88862407186726
RBL,C_502,RTT-DECEMBER-2019,2019-12-01,1683.0,1620.6666666666667,0.038461538461538325,0.2038,0.0,0.0093,0.27869999999999995,False,0.9285,-0.49030354346666427,34.512787606563386
RBL,C_100,RTT-DECEMBER-2019,2019-12-01,2684.0,2696.6666666666665,-0.004697156983930695,0.2068,0.0,0.0093,0.27869999999999995,False,0.9285,-0.48668559177612414,34.65028875240627
RBL,X01,RTT-DECEMBER-2019,2019-12-01,5401.0,7386.333333333333,-0.26878469245002024,0.18,0.0,0.0093,0.27869999999999995,False,0.9285,-0.5765480280180716,32.19360161334678
RBL,C_301,RTT-DECEMBER-2019,2019-12-01,1437.0,1221.0,0.1769041769041768,0.2345,0.0,0.0093,0.27869999999999995,False,0.9285,-0.4018971865856472,37.088642405353376
RBL,C_330,RTT-DECEMBER-2019,2019-12-01,1617.0,1962.0,-0.1758409785932722,0.2511,0.0,0.0093,0.27869999999999995,False,0.9285,-0.39196959050096436,37.418645155376296
RBN,C_100,RTT-DECEMBER-2019,2019-12-01,1340.0,1492.3333333333333,-0.10207728389546566,0.1575,0.0,0.0005,0.29100000000000004,False,0.9642,-0.3651436824682763,38.197818315152624
RBN,C_502,RTT-DECEMBER-2019,2019-12-01,1219.0,1332.0,-0.08483483483483478,0.087,0.0,0.0005,0.29100000000000004,False,0.9642,-0.5384741729973441,33.073608946741224
RBN,C_340,RTT-DECEMBER-2019,2019-12-01,405.0,438.0,-0.07534246575342463,0.0494,0.0,0.0005,0.29100000000000004,False,0.9642,-0.6308908478296356,30.589421578513154
RBN,C_150,RTT-DECEMBER-2019,2019-12-01,23.0,35.0,-0.34285714285714286,0.0,0.0,0.0005,0.29100000000000004,False,0.9642,-0.7771105347487497,26.73938949491246
RBQ,C_170,RTT-DECEMBER-2019,2019-12-01,595.0,491.0,0.2118126272912424,0.205,0.0,0.2906,0.23170000000000002,True,0.7835,-1.7233667654995668,9.130076083967365
RBQ,C_340,RTT-DECEMBER-2019,2019-12-01,609.0,157.66666666666666,2.862579281183933,0.0246,0.0,0.2906,0.23170000000000002,True,0.7835,-1.9360111667815332,6.9850582088184066
RBT,C_110,RTT-DECEMBER-2019,2019-12-01,1978.0,1628.6666666666667,0.21449038067949244,0.182,0.0,0.0179,0.32020000000000004,False,0.9799,-0.0700487347735444,46.42038683655697
RBT,C_101,RTT-DECEMBER-2019,2019-12-01,1126.0,1059.3333333333333,0.06293266205160486,0.1137,0.0,0.0179,0.32020000000000004,False,0.9799,-0.25287423290823924,41.47034558621322
RBT,C_410,RTT-DECEMBER-2019,2019-12-01,343.0,258.6666666666667,0.3260309278350515,0.0058,0.0,0.0179,0.32020000000000004,False,0.9799,-0.4971893342357087,34.29278577321478
RBT,C_300,RTT-DECEMBER-2019,2019-12-01,17.0,28.0,-0.3928571428571429,0.0,0.0,0.0179,0.32020000000000004,False,0.9799,-0.575250674271321,32.22110184251535
REM,C_410,RTT-DECEMBER-2019,2019-12-01,1007.0,535.0,0.8822429906542055,0.0318,0.0,0.068,0.2178,False,0.9185,-1.248342391610798,15.9684664038867
REM,C_300,RTT-DECEMBER-2019,2019-12-01,49.0,49.666666666666664,-0.01342281879194629,0.0408,0.0,0.068,0.2178,False,0.9185,-1.305354184487412,14.905124209368411
REM,C_170,RTT-DECEMBER-2019,2019-12-01,12.0,10.333333333333334,0.16129032258064502,0.0,0.0,0.068,0.2178,False,0.9185,-1.3910731502615863,13.60344669538913
RET,C_150,RTT-DECEMBER-2019,2019-12-01,2088.0,2218.0,-0.0586113615870153,0.0972,0.0,0.0,0.23170000000000002,True,0.7163,-2.076055260959305,6.031716930974425
RJN,C_120,RTT-DECEMBER-2019,2019-12-01,516.0,614.0,-0.1596091205211726,0.1415,0.0,0.0063,0.29610000000000003,False,0.9407,-0.5117041341738112,33.75194793289944
RJN,C_430,RTT-DECEMBER-2019,2019-12-01,13.0,4.666666666666667,1.7857142857142856,0.0,0.0,0.0063,0.29610000000000003,False,0.9407,-0.6903517395770317,29.05857548812907
RJR,C_101,RTT-DECEMBER-2019,2019-12-01,1594.0,2147.3333333333335,-0.2576839490841354,0.2252,0.0,0.0834,0.2933,False,0.9896,-0.15021029893879323,44.33036941974516
RJR,X01,RTT-DECEMBER-2019,2019-12-01,1259.0,1519.6666666666667,-0.17152884404474666,0.1732,0.0,0.0834,0.2933,False,0.9896,-0.27155215797847587,40.96617471812265
RJR,C_120,RTT-DECEMBER-2019,2019-12-01,1717.0,2296.6666666666665,-0.2523947750362844,0.1066,0.0,0.0834,0.2933,False,0.9896,-0.4438996667454551,35.860298835823635
