provider_org_code,waiting_list_size,over_18wk,over_52wk,completed_pathways,period_month,over18_share,over52_share
RBL,52578.0,11028.0,0.0,14132.0,2019-04-01,0.20974552094031723,0.0
RBL,54780.0,10564.0,0.0,14788.0,2019-05-01,0.19284410368747718,0.0
RBL,51636.0,10250.0,0.0,15928.0,2019-06-01,0.1985049190487257,0.0
RBL,49664.0,9894.0,0.0,18286.0,2019-07-01,0.19921875,0.0
RBL,49920.0,10024.0,0.0,14270.0,2019-08-01,0.20080128205128206,0.0
RBL,49660.0,10128.0,0.0,16024.0,2019-09-01,0.20394683850181233,0.0
RBL,48920.0,10256.0,0.0,18736.0,2019-10-01,0.20964840556009812,0.0
RBL,47334.0,10338.0,0.0,16666.0,2019-11-01,0.21840537457218911,0.0
RBL,46744.0,10234.0,0.0,13758.0,2019-12-01,0.2189371897997604,0.0
RBL,46310.0,10048.0,0.0,16668.0,2020-01-01,0.21697257611746923,0.0
RBL,46582.0,10030.0,0.0,14464.0,2020-02-01,0.21531922201708814,0.0
RBL,44840.0,11224.0,30.0,12418.0,2020-03-01,0.2503122212310437,0.0006690454950936663
RBL,42688.0,15014.0,116.0,4912.0,2020-04-01,0.3517147676161919,0.002717391304347826
RBL,42790.0,19688.0,414.0,5880.0,2020-05-01,0.46010750175274595,0.009675157747137182
RBL,42988.0,24394.0,846.0,8796.0,2020-06-01,0.567460686703266,0.01967991067274588
RBL,46264.0,27018.0,1256.0,9666.0,2020-07-01,0.5839961957461525,0.027148538820681307
RBL,49154.0,23970.0,1484.0,8296.0,2020-08-01,0.4876510558652399,0.030190828823696954
RBL,48590.0,19586.0,1636.0,13552.0,2020-09-01,0.4030870549495781,0.03366947931673184
RBL,46052.0,15840.0,1570.0,14834.0,2020-10-01,0.343959002866325,0.03409189611743247
RBL,43446.0,13420.0,1426.0,16380.0,2020-11-01,0.3088891957832712,0.03282235418680661
RBL,43774.0,13232.0,1350.0,13146.0,2020-12-01,0.30227989217343626,0.03084022479097181
RBL,43934.0,13922.0,1816.0,11108.0,2021-01-01,0.316884417535394,0.041334729366777435
RBL,44082.0,14196.0,2242.0,11478.0,2021-02-01,0.32203620525384513,0.05085976135384057
RBL,47048.0,14498.0,2354.0,14722.0,2021-03-01,0.30815337527631353,0.050034007821799016
RBL,49684.0,15132.0,1758.0,13798.0,2021-04-01,0.3045648498510587,0.0353836245068835
RBL,51908.0,14264.0,1276.0,13476.0,2021-05-01,0.2747938660707405,0.024581952685520537
RBL,53522.0,13080.0,1064.0,15078.0,2021-06-01,0.24438548634206494,0.019879675647397333
RBL,54146.0,13486.0,1028.0,13960.0,2021-07-01,0.24906733646068038,0.018985705315258745
RBL,54814.0,14186.0,1140.0,13122.0,2021-08-01,0.2588024957127741,0.020797606450906704
RBL,55038.0,14940.0,1232.0,16326.0,2021-09-01,0.27144881718085684,0.022384534321741343
RBL,54086.0,15770.0,1166.0,16376.0,2021-10-01,0.29157268054579744,0.021558259068890286
RBL,54274.0,16208.0,1030.0,17358.0,2021-11-01,0.2986328628809375,0.018977779415558095
RBL,54986.0,17678.0,1124.0,13964.0,2021-12-01,0.32150001818644747,0.020441566944313098
RBL,57510.0,18652.0,958.0,13450.0,2022-01-01,0.32432620413841073,0.01665797252651713
RBL,59072.0,20168.0,1060.0,14204.0,2022-02-01,0.34141386782231853,0.017944203683640303
RBL,61056.0,21160.0,1172.0,15606.0,2022-03-01,0.3465670859538784,0.019195492662473796
RBL,63194.0,22726.0,1466.0,13714.0,2022-04-01,0.3596227489951578,0.02319840491185872
RBL,64904.0,21640.0,1628.0,16746.0,2022-05-01,0.3334155059780599,0.02508319980278565
RBL,66776.0,23102.0,2062.0,15050.0,2022-06-01,0.34596262130106625,0.030879357853120883
RBL,70038.0,24704.0,2250.0,15124.0,2022-07-01,0.35272280761872127,0.0321254176304292
RBL,71644.0,25286.0,2260.0,16254.0,2022-08-01,0.3529395343643571,0.031544860700128415
RBL,74240.0,27944.0,2506.0,15870.0,2022-09-01,0.3764008620689655,0.03375538793103448
RBL,74488.0,28452.0,2576.0,16880.0,2022-10-01,0.38196756524540865,0.03458275158414778
RBL,74556.0,28678.0,2454.0,18142.0,2022-11-01,0.38465046408069103,0.032914855947207465
RBL,75126.0,31750.0,2664.0,12558.0,2022-12-01,0.42262332614540904,0.03546042648350771
RBL,78054.0,32040.0,2560.0,14904.0,2023-01-01,0.4104850488123607,0.03279780664668051
RBL,80324.0,33334.0,2582.0,14386.0,2023-02-01,0.4149942731935661,0.03214481350530352
RBL,82320.0,33698.0,2642.0,16064.0,2023-03-01,0.40935374149659864,0.032094266277939744
