provider_org_code,x1_inhouse_monthly,x2_outsource_monthly,x3_diagnostic_monthly,baseline_over52_18mo,reduction_18mo,residual_over52_18mo,cost_18mo,provider_org_name,higher_deprivation
RBL,0.0,0.0,0.0,36315.9209499624,0.0,36315.9209499624,0.0,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,False
RBN,0.0,0.0,0.0,57571.7998567209,0.0,57571.7998567209,0.0,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,True
RBQ,0.0,0.0,0.0,1288.0384011171,0.0,1288.0384011171,0.0,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,True
RBS,0.0,0.0,380.0451951503,6840.8135127054,6840.8135127054,0.0,1691901.2622347912,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,True
RBT,0.0,0.0,208.0343314792,33321.3746177706,3744.617966625,29576.7566511456,926136.0293703242,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,False
REM,0.0,0.0,2333.1120888863,41996.017599954,41996.017599954,0.0,10386647.005393462,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,True
REN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,False
REP,0.0,0.0,0.0,16961.9860134289,0.0,16961.9860134289,0.0,LIVERPOOL WOMENS NHS FOUNDATION TRUST,True
RET,0.0,0.0,0.0,7897.3002449531,0.0,7897.3002449531,0.0,THE WALTON CENTRE NHS FOUNDATION TRUST,True
RJN,0.0,0.0,448.2,19081.1451845941,8067.6,11013.5451845941,1995315.703001422,EAST CHESHIRE NHS TRUST,False
RJR,0.0,0.0,0.0,46245.964654786,0.0,46245.964654786,0.0,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,False
RWW,0.0,0.0,0.0,28763.7849802044,0.0,28763.7849802044,0.0,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,False
